id, name
147,Martin Scorsese
148,Harvey Keitel
149,Jude Law
150,Bill Murray
151,Edward Norton
153,Jason Schwartzman
154,Léa Seydoux
156,Tom Wilkinson
157,Owen Wilson
158,Tony Revolori
161,Ewan McGregor
162,Brenton Thwaites
163,Alicia Vikander
164,Dane DeHaan
165,Cara Delevingne
166,Clive Owen
167,Rihanna
168,Ethan Hawke
169,Herbie Hancock
170,Kris Wu
171,Rutger Hauer
172,John Goodman
173,Elizabeth Debicki
174,Sam Spruell
175,Alain Chabat
176,Thom Browne
177,Peter Jackson
178,Steven Spielberg
179,Quentin Tarantino
180,Christopher Nolan
181,Ridley Scott
182,Guillermo del Toro
183,Darren Aronofsky
184,Spike Lee
185,Wes Anderson
186,Taika Waititi
187,Jordan Peele
189,Bong Joon-ho
190,Paul Thomas Anderson
191,Kathryn Bigelow
192,Alejandro González Iñárritu
193,Damien Chazelle
194,Barry Jenkins
195,Denis Villeneuve
196,Ryan Coogler
197,Patty Jenkins
198,Rian Johnson
199,J.J. Abrams
200,David Fincher
201,Ang Lee
203,Florence Pugh
204,Keanu Reeves
205,Michael Keaton
206,Stanley Kubrick
207,Sam Rockwell
210,Toni Collette
211,Ian McKellen
212,Cillian Murphy
213,Emma Thompson
215,Bill Nighy
216,Rachel McAdams
217,Ralph Fiennes
219,Rosamund Pike
220,Dev Patel
221,Ben Kingsley
222,Helena Bonham Carter
223,Daniel Craig
224,Eddie Murphy
225,Bruce Willis
226,Julia Roberts
227,Diane Keaton
228,Whoopi Goldberg
229,Steve Martin
231,Jamie Lee Curtis
232,Mandy Patinkin
233,Jeff Goldblum
234,Richard Gere
236,Alfre Woodard
237,Laurence Fishburne
239,Don Cheadle
241,Taraji P. Henson
242,Octavia Spencer
243,Mahershala Ali
244,Sterling K. Brown
245,Brian Tyree Henry
246,Regina King
247,Kerry Washington
248,Thandie Newton
250,Danish Naveed
254,John Boyega
256,Tessa Thompson
257,Cynthia Erivo
258,Aldis Hodge
259,Lakeith Stanfield
260,Zazie Beetz
261,Janelle Monáe
262,Alfred Hitchcock
263,Anthony Mackie
264,Dominique Fishback
265,Jonathan Majors
266,Ashton Sanders
267,Yahya Abdul-Mateen II
268,Kelvin Harrison Jr.
269,Kingsley Ben-Adir
270,Ariana DeBose
271,Stephan James
272,Teyonah Parris
273,Nicole Beharie
274,Trevante Rhodes
275,Amandla Stenberg
276,Storm Reid
277,Shamier Anderson
278,Damson Idris
279,Danielle Brooks
280,Jasmine Cephas Jones
281,LaKeith Stanfield
282,Daveed Diggs
283,Leslie Odom Jr.
284,Renée Elise Goldsberry
285,Phillipa Soo
286,Lin-Manuel Miranda
287,Anthony Ramos
288,Corey Hawkins
289,Michaela Coel
291,Issa Rae
292,Marsai Martin
293,Caleb McLaughlin
295,RJ Cyler
296,Alex Hibbert
297,Jharrel Jerome
298,Kiki Layne
301,Tom Hardy
303,Benedict Wong
304,Ken Watanabe
305,Tilda Swinton
306,Gael García Bernal
307,Diego Luna
308,Salma Hayek
310,Antonio Banderas
311,Javier Bardem
312,Gong Li
313,Donnie Yen
314,Michelle Yeoh
315,Tony Leung Chiu-Wai
316,Maggie Cheung
317,Jet Li
318,Ziyi Zhang
319,Andy Lau
320,Takeshi Kaneshiro
321,Rinko Kikuchi
322,Hiroyuki Sanada
323,Ken Jeong
324,Constance Wu
325,Henry Golding
326,Awkwafina
327,Gemma Chan
328,Simu Liu
329,Randall Park
330,Sandra Oh
331,Ali Wong
332,John Cho
333,Steven Yeun
334,Margaret Cho
335,Lucy Liu
336,Ming-Na Wen
337,Daniel Dae Kim
338,Grace Park
339,Ludi Lin
340,Joe Taslim
341,Iko Uwais
342,Yayan Ruhian
343,Tony Jaa
344,Pankaj Tripathi
345,Rajkummar Rao
346,Ayushmann Khurrana
347,Vicky Kaushal
348,Alia Bhatt
349,Deepika Padukone
350,Priyanka Chopra
351,Irrfan Khan
352,Nawazuddin Siddiqui
353,Sushant Singh Rajput
354,Taapsee Pannu
355,Bhumi Pednekar
356,Kiara Advani
357,Kartik Aaryan
358,Ranveer Singh
359,Shahid Kapoor
360,Anushka Sharma
361,Vidya Balan
362,Kangana Ranaut
363,Rani Mukerji
364,Kareena Kapoor
365,Saif Ali Khan
366,Aamir Khan
367,Salman Khan
368,Shah Rukh Khan
369,Kajol
370,Amitabh Bachchan
371,Hrithik Roshan
372,Madhuri Dixit
373,Sridevi
374,Rajinikanth
375,Kamal Haasan
376,Vijay
377,Ajith Kumar
378,Suriya
379,Dhanush
381,Fahadh Faasil
382,Nivin Pauly
383,Prithviraj Sukumaran
384,Parvathy Thiruvothu
385,Tovino Thomas
386,Asif Ali
387,Rima Kallingal
388,Manju Warrier
389,Nithya Menen
390,Sai Pallavi
391,Trisha Krishnan
392,Samantha Ruth Prabhu
393,Anjali
394,Nazriya Nazim
395,Keerthy Suresh
396,Andrea Jeremiah
397,Aishwarya Rajesh
398,Ramya Krishnan
399,Revathi
400,Shobana
401,Urvashi
402,Suresh Gopi
403,Jayaram
404,Dileep
405,Jayasurya
406,Indrajith Sukumaran
407,Kunchacko Boban
408,Fahad Mustafa
409,Mohanlal
410,Mammootty
411,Biju Menon
412,Prakash Raj
413,Gautham Vasudev Menon
414,R. Madhavan
415,Arya
416,Jiiva
417,Vikram
418,Siddharth
419,Rana Daggubati
420,Nani
421,Allu Arjun
422,Ram Charan
423,Mahesh Babu
424,Pawan Kalyan
425,Prabhas
426,Jr NTR
427,Venkatesh
428,Nagarjuna
429,Chiranjeevi
430,Balakrishna
431,Akkineni Nageswara Rao
432,Sivaji Ganesan
433,M. G. Ramachandran
434,Dulquer Salmaan
435,Naseeruddin Shah
436,Om Puri
437,Anupam Kher
438,Paresh Rawal
439,Boman Irani
440,Kay Kay Menon
441,Manoj Bajpayee
442,Rajpal Yadav
443,Sanjay Mishra
444,Vijay Raaz
445,Ashutosh Rana
446,Atul Kulkarni
447,Raghuvir Yadav
448,Vinay Pathak
449,Arshad Warsi
450,Abhay Deol
451,Emraan Hashmi
452,Farhan Akhtar
453,Kalki Koechlin
454,Richa Chadda
455,Radhika Apte
456,Konkona Sen Sharma
457,Shabana Azmi
458,Jaya Bachchan
459,Waheeda Rehman
460,Rekha
461,Hema Malini
462,Zeenat Aman
463,Parveen Babi
464,Sharmila Tagore
465,Tanuja
466,Rakhee Gulzar
467,Neetu Singh
468,Rishi Kapoor
469,Vinod Khanna
470,Dharmendra
471,Jeetendra
472,Rajesh Khanna
473,Feroz Khan
474,Amjad Khan
475,Sanjeev Kumar
476,Om Shivpuri
477,Kulbhushan Kharbanda
478,Amrish Puri
479,Pran
480,Prem Chopra
481,Gulshan Grover
482,Danny Denzongpa
483,Nana Patekar
484,Anil Kapoor
485,Jackie Shroff
486,Sunny Deol
487,Bobby Deol
488,Akshay Kumar
489,Ajay Devgn
490,Suniel Shetty
491,Arjun Rampal
492,Vivek Oberoi
493,John Abraham
494,Abhishek Bachchan
495,Riteish Deshmukh
496,Tusshar Kapoor
497,Aftab Shivdasani
498,Dino Morea
499,Arbaaz Khan
500,Sohail Khan
